image_name,Task_Chinese_medicinal_herb
1.jpg,0
10.jpg,0
100.jpg,2
1000.jpg,10
1001.jpg,10
1003.jpg,10
1004.jpg,10
1005.jpg,10
1006.jpg,10
1007.jpg,10
1008.jpg,10
1009.jpg,10
101.jpg,2
1010.jpg,10
1011.jpg,10
1012.jpg,10
1013.jpg,10
1014.jpg,10
1016.jpg,10
1018.jpg,10
1019.jpg,10
102.jpg,2
1020.jpg,10
1022.jpg,10
1023.jpg,10
1026.jpg,10
1028.jpg,10
1029.jpg,10
103.jpg,2
1030.jpg,10
1031.jpg,10
1032.jpg,10
1033.jpg,10
1034.jpg,10
1035.jpg,10
1036.jpg,10
1037.jpg,10
1039.jpg,10
1040.jpg,10
1041.jpg,10
1042.jpg,10
1043.jpg,10
1046.jpg,10
1047.jpg,10
1048.jpg,10
105.jpg,2
1050.jpg,10
1051.jpg,10
1052.jpg,10
1053.jpg,10
1054.jpg,10
1055.jpg,10
1056.jpg,10
1057.jpg,10
1058.jpg,10
1059.jpg,10
106.jpg,2
1060.jpg,10
1061.jpg,10
1062.jpg,10
1063.jpg,10
1064.jpg,10
1065.jpg,10
1066.jpg,10
1067.jpg,10
1068.jpg,10
107.jpg,2
1070.jpg,10
1071.jpg,10
1074.jpg,10
1075.jpg,10
1076.jpg,10
1079.jpg,10
108.jpg,2
1080.jpg,10
1082.jpg,10
1083.jpg,10
1084.jpg,10
1085.jpg,10
1086.jpg,10
1087.jpg,10
1088.jpg,10
109.jpg,2
1090.jpg,11
1092.jpg,11
1093.jpg,11
1094.jpg,11
1095.jpg,11
1096.jpg,11
1097.jpg,11
1098.jpg,11
1099.jpg,11
11.jpg,0
110.jpg,2
1100.jpg,11
1101.jpg,11
1102.jpg,11
1103.jpg,11
1104.jpg,11
1106.jpg,11
1107.jpg,11
1108.jpg,11
1109.jpg,11
1110.jpg,11
1111.jpg,11
1112.jpg,11
1113.jpg,11
1114.jpg,11
1115.jpg,11
1117.jpg,11
1119.jpg,11
112.jpg,2
1121.jpg,11
1122.jpg,11
1123.jpg,11
1124.jpg,11
1125.jpg,11
1127.jpg,11
1128.jpg,11
113.jpg,2
1130.jpg,11
1131.jpg,11
1132.jpg,11
1135.jpg,11
1136.jpg,11
1137.jpg,11
1138.jpg,11
1139.jpg,11
114.jpg,2
1141.jpg,11
1142.jpg,11
1143.jpg,11
1144.jpg,11
1145.jpg,11
1146.jpg,11
1147.jpg,11
1148.jpg,11
1149.jpg,11
115.jpg,2
1152.jpg,11
1153.jpg,11
1154.jpg,11
1155.jpg,11
1156.jpg,11
1158.jpg,11
1159.jpg,11
116.jpg,2
1160.jpg,11
1161.jpg,11
1163.jpg,11
1164.jpg,11
1165.jpg,11
1166.jpg,11
1168.jpg,11
1169.jpg,11
117.jpg,2
1170.jpg,11
1171.jpg,11
1172.jpg,11
1173.jpg,12
1174.jpg,12
1175.jpg,12
1176.jpg,12
1177.jpg,12
1178.jpg,12
1179.jpg,12
118.jpg,2
1181.jpg,12
1182.jpg,12
1183.jpg,12
1184.jpg,12
1185.jpg,12
1186.jpg,12
1187.jpg,12
1189.jpg,12
119.jpg,2
1190.jpg,12
1191.jpg,12
1193.jpg,12
1194.jpg,12
1195.jpg,12
1196.jpg,12
1197.jpg,12
1198.jpg,12
1199.jpg,12
12.jpg,0
1200.jpg,12
1201.jpg,12
1202.jpg,12
1204.jpg,12
1205.jpg,12
1206.jpg,12
1207.jpg,12
1208.jpg,12
121.jpg,2
1210.jpg,12
1212.jpg,12
1214.jpg,12
1217.jpg,12
122.jpg,2
1220.jpg,12
1221.jpg,12
1222.jpg,12
1223.jpg,12
1224.jpg,12
1225.jpg,12
1226.jpg,12
1227.jpg,12
1228.jpg,12
1229.jpg,12
123.jpg,2
1230.jpg,12
1232.jpg,12
1233.jpg,12
1234.jpg,12
1236.jpg,12
1237.jpg,12
1238.jpg,12
1239.jpg,12
124.jpg,2
1240.jpg,12
1241.jpg,12
1242.jpg,12
1243.jpg,12
1244.jpg,12
1245.jpg,12
1246.jpg,12
1247.jpg,12
1249.jpg,12
125.jpg,2
1251.jpg,12
1252.jpg,12
1253.jpg,12
1255.jpg,12
1257.jpg,12
1258.jpg,12
1259.jpg,12
126.jpg,2
1260.jpg,12
1263.jpg,12
1264.jpg,12
1265.jpg,12
1266.jpg,12
1267.jpg,12
1268.jpg,12
1269.jpg,12
127.jpg,2
1270.jpg,12
1271.jpg,12
1272.jpg,12
1273.jpg,12
1274.jpg,12
1275.jpg,12
1277.jpg,12
1278.jpg,12
1279.jpg,12
1280.jpg,12
1281.jpg,12
1283.jpg,12
1285.jpg,12
1286.jpg,12
1287.jpg,13
1288.jpg,13
1290.jpg,13
1291.jpg,13
1293.jpg,13
1294.jpg,13
1295.jpg,13
1296.jpg,13
1298.jpg,13
1299.jpg,13
