acc_mean,acc_std,macro_prec_mean,macro_prec_std,macro_rec_mean,macro_rec_std,macro_f1_mean,macro_f1_std,macro_auc_mean,macro_auc_std,name
0.9803,0.0078,0.9775,0.0115,0.9793,0.0101,0.9775,0.0112,0.9998,0.0001,Full_Model
0.966,0.0126,0.9586,0.0141,0.9566,0.0108,0.9547,0.0131,0.9973,0.003,Image_Only
0.9721,0.013,0.9791,0.0156,0.9695,0.0142,0.9681,0.0158,0.9977,0.0042,Image_Only_Joint
0.7516,0.0228,0.7295,0.0296,0.7061,0.0145,0.7042,0.0209,0.9743,0.0019,Text_Only
0.9767,0.0122,0.9759,0.0106,0.9757,0.0112,0.9748,0.0112,0.998,0.0034,NoSegmentation
0.9721,0.0139,0.9786,0.0191,0.9674,0.0165,0.9664,0.0192,0.9995,0.0005,No_Gate
0.975,0.0108,0.9713,0.0177,0.9688,0.017,0.9684,0.0186,0.9991,0.001,Deep_Fusion
0.9741,0.0157,0.9719,0.022,0.9722,0.0202,0.9707,0.0219,0.9981,0.0034,Pool_Avg_Only
0.975,0.0201,0.9736,0.0218,0.9715,0.0233,0.9708,0.0238,0.9975,0.0046,Pool_Max_Only
0.9732,0.0094,0.9683,0.0106,0.9647,0.0192,0.9609,0.0208,0.9956,0.0052,LSTM128
0.9776,0.0142,0.9747,0.0197,0.9732,0.0193,0.9726,0.0204,0.9989,0.0015,LSTM512
0.9758,0.0176,0.9726,0.0165,0.9697,0.0206,0.9693,0.0199,0.9986,0.0015,Low_TextDropout
0.9562,0.0111,0.9472,0.0143,0.9494,0.0116,0.9451,0.0131,0.9939,0.0041,Two_Phase
0.9741,0.0169,0.9707,0.0144,0.9678,0.0155,0.9669,0.0156,0.9978,0.0024,FixedLR
